task,nc,delta_mean,delta_std,rho_mean,rho_std,c_mean,c_std,f_mean
task1_deductive,10,0.5052109063174318,0.04248065761704729,0.40453534246575346,0.05902489464647753,0.2953108,0.0430881730919286,0.7432803
task1_deductive,50,0.343520816372856,0.043545187296602034,0.5300469863013698,0.05902531288846578,0.38693429999999995,0.043088478408580023,0.990333
task1_deductive,100,0.302367027195156,0.04359971278911235,0.5864972602739726,0.05902478969080911,0.42814300000000005,0.04308809647429063,0.990333
task1_deductive,250,0.24811316087287638,0.04369616495847141,0.6609498630136986,0.05902533294612552,0.48249339999999996,0.043088493050671625,0.990333
task1_deductive,500,0.20814558463515537,0.04379321394525454,0.715834794520548,0.05902533294612553,0.5225594,0.04308849305067166,0.990333
task1_deductive,1000,0.16985982899340926,0.04391949038904101,0.7684593150684932,0.059025312888465784,0.5609753000000001,0.04308847840858003,0.990333
task1_deductive,5000,0.0904052546003296,0.04438361526070903,0.8780361643835617,0.059025332946125504,0.6409664,0.04308849305067163,0.990333
task1_deductive,50000,0.03847580312509193,0.024555913695509173,0.9972432876712329,0.059025127648115044,0.7279876,0.04308834318312398,0.990333
task2_inductive,10,0.29272306526992,0.023093117562554718,0.520477868852459,0.037869451144149024,0.3174915,0.023100365197930912,0.822343
task2_inductive,50,0.22727513253648265,0.023087406377701868,0.6278718032786885,0.037869266888340164,0.3830018,0.023100252801887492,0.822343
task2_inductive,100,0.19885853239615242,0.023083051867078024,0.674522131147541,0.03786945114414905,0.4114585,0.023100365197930916,0.822343
task2_inductive,250,0.16187910733902006,0.02307287759643403,0.7352652459016393,0.03786926688834017,0.4485118,0.023100252801887496,0.822343
task2_inductive,500,0.13475966901181863,0.023059182030522266,0.7798562295081968,0.037869532737800346,0.4757123,0.023100414970058217,0.822343
task2_inductive,1000,0.10870181656165197,0.023033193627095945,0.8227685245901639,0.037869266888340185,0.5018888,0.023100252801887492,0.822343
task2_inductive,5000,0.05380865792301161,0.022716446614838345,0.9139652459016393,0.0378692668883402,0.5575188,0.023100252801887503,0.822343
task2_inductive,50000,0.023835830893052568,0.014296710501129684,1.0198472131147542,0.037869266888340095,0.6221068,0.023100252801887485,0.822343
task3_revision,10,0.3565523962183899,0.026247535216014,0.4351636507936508,0.04116775017759556,0.27415310000000004,0.0259356826118852,0.5045788
task3_revision,50,0.28434943453214945,0.02610545964920922,0.5494922222222222,0.04116775017759558,0.3461801,0.02593568261188521,0.5145788
task3_revision,100,0.25236300245411014,0.026122424375892836,0.6003685714285714,0.04116747941703534,0.37823219999999996,0.02593551203273227,0.5145788
task3_revision,250,0.21018176562588137,0.02615074267666597,0.6675080952380952,0.041167750177595566,0.4205301,0.02593568261188519,0.5145788
task3_revision,500,0.17892222658458232,0.02617683329280521,0.7173192063492063,0.04116775017759552,0.45191110000000007,0.0259356826118852,0.5145788
task3_revision,1000,0.14868733704248677,0.026206795490948016,0.765574126984127,0.04116761257336772,0.4823117,0.02593559592122164,0.5145788
task3_revision,5000,0.0844793915520167,0.026251576367505,0.8686965079365079,0.041167430543920726,0.5472788,0.025935481242670054,0.5145788
task3_revision,50000,0.029181116178549106,0.011510246607746242,0.9880620634920636,0.04116775017759556,0.6224791,0.0259356826118852,0.5145788
task4_abductive,10,0.57162532424289,0.029034436542583822,0.07172586206896552,0.051972690745239504,0.041601,0.030144160632238914,0.5285414
task4_abductive,50,0.5446868700493162,0.029991324050638545,0.07172586206896552,0.051972690745239504,0.041601,0.030144160632238914,0.6385414
task4_abductive,100,0.5385556968293393,0.030123087920227717,0.07172586206896553,0.051972690745239504,0.041601,0.030144160632238914,0.7210414
task4_abductive,250,0.3603161344740927,0.025692408616111988,0.3792510344827586,0.044063521683920415,0.2199656,0.025556842576673837,0.721069
task4_abductive,500,0.0677203983752728,0.0258094819719494,0.8857827586206897,0.044063477096937934,0.513754,0.02555681671622397,0.721069
task4_abductive,1000,0.06256246130624342,0.02578468139343356,0.8949068965517242,0.04406347709693799,0.519046,0.025556816716223958,0.721069
task4_abductive,5000,0.029114061495332855,0.023863888505577604,0.9590856896551724,0.044063545759537935,0.5562697,0.025556856540532025,0.721069
task4_abductive,50000,0.0298752194985543,0.00878064296008255,1.0221389655172415,0.04406352168392043,0.5928405999999999,0.02555684257667384,0.721069
task5_multihop,10,0.5289736266124976,0.020910826295433078,0.07199666666666667,0.04145439285637148,0.0388782,0.022385372142440595,0.5114973
task5_multihop,50,0.5186171847424117,0.021256510954299774,0.07199666666666667,0.04145439285637148,0.0388782,0.022385372142440595,0.5474973000000001
task5_multihop,100,0.5089675411639143,0.021659965216430946,0.07199666666666667,0.04145439285637147,0.0388782,0.022385372142440595,0.5924973
task5_multihop,250,0.50137000520792,0.02230666368077121,0.07199666666666667,0.04145439285637148,0.0388782,0.022385372142440595,0.6824973
task5_multihop,500,0.4324722882662317,0.025603118114562267,0.1999637037037037,0.04695992892569791,0.1079804,0.025358361619876875,0.6759039
task5_multihop,1000,0.04680987164394149,0.016610567569329212,0.9292849999999999,0.04695963211151761,0.5018138999999999,0.025358201340219533,0.6759039
task5_multihop,5000,0.03793241459044454,0.01545404267996039,0.9519766666666666,0.04695992892569794,0.5140674,0.02535836161987687,0.6759039
task5_multihop,50000,0.022272205472596927,0.02329866009944265,1.003359074074074,0.04695963211151766,0.5418139,0.025358201340219547,0.6759039
