task,nm,delta_mean,delta_std,rho_mean,rho_std,c_mean,c_std,f_mean
task1_deductive,25,0.3839366074415004,0.04350120351989333,0.47462328767123285,0.059024789690809105,0.346475,0.04308809647429065,0.990333
task1_deductive,50,0.343520816372856,0.043545187296602034,0.5300469863013698,0.05902531288846577,0.38693429999999995,0.04308847840858001,0.990333
task1_deductive,100,0.302367027195156,0.04359971278911235,0.5864972602739726,0.05902478969080906,0.42814300000000005,0.04308809647429065,0.990333
task1_deductive,250,0.24811316087287638,0.04369616495847141,0.6609498630136986,0.05902533294612552,0.48249339999999996,0.043088493050671625,0.990333
task1_deductive,500,0.20814558463515537,0.04379321394525453,0.715834794520548,0.05902533294612553,0.5225594,0.043088493050671646,0.990333
task1_deductive,1000,0.16985982899340923,0.04391949038904101,0.7684593150684932,0.059025312888465804,0.5609753000000001,0.04308847840858002,0.990333
task1_deductive,5000,0.0904052546003296,0.04438361526070903,0.8780361643835617,0.059025332946125504,0.6409664,0.04308849305067163,0.990333
task1_deductive,10000,0.06378836596366777,0.04040105685753486,0.918738904109589,0.059025332946125546,0.6706794,0.04308849305067164,0.990333
task2_inductive,25,0.25570107147163107,0.02309039775076853,0.5812209836065574,0.03786926688834015,0.3545448,0.023100252801887492,0.822343
task2_inductive,50,0.22727513253648265,0.02308740637770187,0.6278718032786885,0.03786926688834016,0.3830018,0.023100252801887492,0.822343
task2_inductive,100,0.19885853239615242,0.02308305186707802,0.674522131147541,0.03786945114414905,0.4114585,0.023100365197930916,0.822343
task2_inductive,250,0.16187910733902006,0.023072877596434026,0.7352652459016393,0.037869266888340164,0.4485118,0.023100252801887492,0.822343
task2_inductive,500,0.13475966901181863,0.023059182030522263,0.7798562295081968,0.037869532737800346,0.4757123,0.023100414970058214,0.822343
task2_inductive,1000,0.10870181656165197,0.023033193627095945,0.8227685245901639,0.03786926688834019,0.5018888,0.02310025280188749,0.822343
task2_inductive,5000,0.05380865792301161,0.02271644661483834,0.9139652459016393,0.03786926688834019,0.5575188,0.023100252801887506,0.822343
task2_inductive,10000,0.035108541457005094,0.019434744161531195,0.9490216393442623,0.037869601982820494,0.5789032,0.02310045720952051,0.822343
task3_revision,25,0.29428560199272014,0.026100671246845446,0.5336926984126984,0.04116765548353089,0.33622640000000004,0.025935622954624458,0.5145788
task3_revision,50,0.26319450443322007,0.026116348559043382,0.5831376190476191,0.04116761257336766,0.3673767,0.02593559592122162,0.5145788
task3_revision,100,0.23211907049844505,0.026134983120499226,0.632582380952381,0.04116739894773065,0.39852689999999996,0.025935461337070257,0.5145788
task3_revision,250,0.1917966536709745,0.026165257756469884,0.6967966666666666,0.04116739894773061,0.43898190000000004,0.02593546133707026,0.5145788
task3_revision,500,0.1623894123071823,0.026192477037584642,0.743693492063492,0.041167398947730575,0.46852689999999997,0.025935461337070257,0.5145788
task3_revision,1000,0.1343278203802985,0.026222446003763503,0.7885334920634921,0.041167750177595594,0.49677610000000005,0.02593568261188521,0.5145788
task3_revision,5000,0.0760148165769271,0.02623401836623858,0.8824598412698412,0.04116761257336769,0.5559497,0.02593559592122168,0.5145788
task3_revision,10000,0.05459948980578927,0.02598156181362114,0.9179128571428571,0.04116775017759557,0.5782851,0.025935682611885193,0.5145788
task4_abductive,25,0.549480729867925,0.029827624675653377,0.07172586206896553,0.05197269074523951,0.041601,0.030144160632238914,0.6110414
task4_abductive,50,0.5385556968293393,0.030123087920227717,0.07172586206896553,0.051972690745239504,0.041601,0.030144160632238914,0.7210414
task4_abductive,100,0.537483453792096,0.02383346089988596,0.07363327586206897,0.040923722358689574,0.0427073,0.02373575896803995,0.721069
task4_abductive,250,0.06861306501155659,0.025812782611203032,0.8842079310344829,0.044063521683920436,0.5128406,0.025556842576673854,0.721069
task4_abductive,500,0.06522404232077533,0.025798835269525495,0.890193103448276,0.04406347709693793,0.516312,0.02555681671622399,0.721069
task4_abductive,1000,0.05792490640700217,0.025750812838088423,0.9031553448275863,0.04406328138239863,0.5238301,0.02555670320179118,0.721069
task4_abductive,5000,0.02615639562129395,0.021668431617918107,0.9696586206896554,0.04406347709693798,0.562402,0.025556816716223986,0.721069
task4_abductive,10000,0.025056773190425062,0.013847257425353036,0.9968322413793104,0.044063545759537893,0.5781627,0.02555685654053198,0.721069
task5_multihop,25,0.5248245565130055,0.02104218047497102,0.07199666666666667,0.04145439285637147,0.0388782,0.022385372142440598,0.5249973
task5_multihop,50,0.5186171847424117,0.021256510954299764,0.07199666666666667,0.04145439285637148,0.0388782,0.022385372142440595,0.5474973000000001
task5_multihop,100,0.5089675411639142,0.021659965216430953,0.07199666666666667,0.04145439285637148,0.0388782,0.022385372142440595,0.5924973
task5_multihop,250,0.50137000520792,0.022306663680771204,0.07199666666666667,0.04145439285637147,0.0388782,0.022385372142440598,0.6824973
task5_multihop,500,0.4324722882662317,0.025603118114562288,0.1999637037037037,0.04695992892569792,0.1079804,0.02535836161987687,0.6759039
task5_multihop,1000,0.04680987164394149,0.016610567569329212,0.9292849999999999,0.04695963211151761,0.5018138999999999,0.025358201340219533,0.6759039
task5_multihop,5000,0.03793241459044454,0.01545404267996039,0.9519766666666666,0.046959928925697926,0.5140674,0.025358361619876868,0.6759039
task5_multihop,10000,0.028121517265558088,0.018241576859316582,0.9806668518518519,0.04695971834095784,0.5295601000000001,0.02535824790411723,0.6759039
