task,nc,nm,seed,f,c,f_star,c_star
task1_deductive,10,10000,2,0.758964,0.310083,1.0,0.73
task1_deductive,10,10000,4,0.732011,0.259027,1.0,0.73
task1_deductive,10,10000,5,0.754345,0.367367,1.0,0.73
task1_deductive,10,10000,6,0.742503,0.343978,1.0,0.73
task1_deductive,10,10000,7,0.749368,0.300989,1.0,0.73
task1_deductive,10,10000,1,0.763397,0.322699,1.0,0.73
task1_deductive,10,10000,8,0.752767,0.265635,1.0,0.73
task1_deductive,50,10000,0,0.94659,0.34245,1.0,0.73
task1_deductive,10,10000,9,0.748539,0.232464,1.0,0.73
task1_deductive,50,10000,1,1.0,0.414323,1.0,0.73
task1_deductive,50,10000,2,1.0,0.401707,1.0,0.73
task1_deductive,50,10000,3,0.984319,0.391663,1.0,0.73
task1_deductive,50,10000,4,0.982011,0.35065,1.0,0.73
task1_deductive,50,10000,5,1.0,0.458991,1.0,0.73
task1_deductive,50,10000,6,0.992503,0.435602,1.0,0.73
task1_deductive,50,10000,7,0.999368,0.392612,1.0,0.73
task1_deductive,50,10000,8,1.0,0.357258,1.0,0.73
task1_deductive,10,10000,3,0.734319,0.30004,1.0,0.73
task1_deductive,10,10000,0,0.69659,0.250826,1.0,0.73
task1_deductive,50,10000,9,0.998539,0.324087,1.0,0.73
task1_deductive,100,10000,0,0.94659,0.383659,1.0,0.73
task1_deductive,100,10000,2,1.0,0.442916,1.0,0.73
task1_deductive,100,10000,3,0.984319,0.432872,1.0,0.73
task1_deductive,100,10000,1,1.0,0.455531,1.0,0.73
task1_deductive,100,10000,5,1.0,0.500199,1.0,0.73
task1_deductive,100,10000,6,0.992503,0.47681,1.0,0.73
task1_deductive,100,10000,7,0.999368,0.433821,1.0,0.73
task1_deductive,100,10000,8,1.0,0.398467,1.0,0.73
task1_deductive,100,10000,4,0.982011,0.391859,1.0,0.73
task1_deductive,100,10000,9,0.998539,0.365296,1.0,0.73
task1_deductive,250,10000,0,0.94659,0.438009,1.0,0.73
task1_deductive,250,10000,1,1.0,0.509882,1.0,0.73
task1_deductive,250,10000,2,1.0,0.497266,1.0,0.73
task1_deductive,250,10000,3,0.984319,0.487222,1.0,0.73
task1_deductive,250,10000,4,0.982011,0.446209,1.0,0.73
task1_deductive,250,10000,5,1.0,0.55455,1.0,0.73
task1_deductive,250,10000,6,0.992503,0.531161,1.0,0.73
task1_deductive,250,10000,7,0.999368,0.488172,1.0,0.73
task1_deductive,250,10000,8,1.0,0.452817,1.0,0.73
task1_deductive,250,10000,9,0.998539,0.419646,1.0,0.73
task1_deductive,500,10000,1,1.0,0.549948,1.0,0.73
task1_deductive,500,10000,0,0.94659,0.478075,1.0,0.73
