task,nc,nm,seed,f,c,f_star,c_star
task1_deductive,50000,25,7,0.999368,0.352153,1.0,0.73
task1_deductive,50000,50,6,0.992503,0.435602,1.0,0.73
task1_deductive,50000,50,8,1.0,0.357258,1.0,0.73
task1_deductive,50000,25,1,1.0,0.373863,1.0,0.73
task1_deductive,50000,25,8,1.0,0.316799,1.0,0.73
task1_deductive,50000,25,4,0.982011,0.310191,1.0,0.73
task1_deductive,50000,50,3,0.984319,0.391663,1.0,0.73
task1_deductive,50000,25,9,0.998539,0.283628,1.0,0.73
task1_deductive,50000,25,5,1.0,0.418531,1.0,0.73
task1_deductive,50000,25,3,0.984319,0.351204,1.0,0.73
task1_deductive,50000,50,4,0.982011,0.35065,1.0,0.73
task1_deductive,50000,50,9,0.998539,0.324087,1.0,0.73
task1_deductive,50000,50,7,0.999368,0.392612,1.0,0.73
task1_deductive,50000,25,0,0.94659,0.301991,1.0,0.73
task1_deductive,50000,50,2,1.0,0.401707,1.0,0.73
task1_deductive,50000,50,0,0.94659,0.34245,1.0,0.73
task1_deductive,50000,25,6,0.992503,0.395142,1.0,0.73
task1_deductive,50000,25,2,1.0,0.361248,1.0,0.73
task1_deductive,50000,50,5,1.0,0.458991,1.0,0.73
task1_deductive,50000,100,0,0.94659,0.383659,1.0,0.73
task1_deductive,50000,100,1,1.0,0.455531,1.0,0.73
task1_deductive,50000,100,2,1.0,0.442916,1.0,0.73
task1_deductive,50000,100,3,0.984319,0.432872,1.0,0.73
task1_deductive,50000,100,4,0.982011,0.391859,1.0,0.73
task1_deductive,50000,100,6,0.992503,0.47681,1.0,0.73
task1_deductive,50000,100,5,1.0,0.500199,1.0,0.73
task1_deductive,50000,100,7,0.999368,0.433821,1.0,0.73
task1_deductive,50000,100,9,0.998539,0.365296,1.0,0.73
task1_deductive,50000,100,8,1.0,0.398467,1.0,0.73
task1_deductive,50000,250,0,0.94659,0.438009,1.0,0.73
task1_deductive,50000,250,1,1.0,0.509882,1.0,0.73
task1_deductive,50000,250,2,1.0,0.497266,1.0,0.73
task1_deductive,50000,250,4,0.982011,0.446209,1.0,0.73
task1_deductive,50000,250,3,0.984319,0.487222,1.0,0.73
task1_deductive,50000,250,5,1.0,0.55455,1.0,0.73
task1_deductive,50000,250,6,0.992503,0.531161,1.0,0.73
task1_deductive,50000,250,7,0.999368,0.488172,1.0,0.73
task1_deductive,50000,50,1,1.0,0.414323,1.0,0.73
task1_deductive,50000,250,8,1.0,0.452817,1.0,0.73
task1_deductive,50000,250,9,0.998539,0.419646,1.0,0.73
task1_deductive,50000,500,0,0.94659,0.478075,1.0,0.73
task1_deductive,50000,500,2,1.0,0.537332,1.0,0.73
task1_deductive,50000,500,3,0.984319,0.527288,1.0,0.73
task1_deductive,50000,500,1,1.0,0.549948,1.0,0.73
task1_deductive,50000,500,4,0.982011,0.486275,1.0,0.73
task1_deductive,50000,500,5,1.0,0.594616,1.0,0.73
task1_deductive,50000,500,6,0.992503,0.571227,1.0,0.73
task1_deductive,50000,500,7,0.999368,0.528238,1.0,0.73
task1_deductive,50000,500,8,1.0,0.492883,1.0,0.73
task1_deductive,50000,500,9,0.998539,0.459712,1.0,0.73
task1_deductive,50000,1000,0,0.94659,0.516491,1.0,0.73
task1_deductive,50000,1000,1,1.0,0.588364,1.0,0.73
task1_deductive,50000,1000,2,1.0,0.575748,1.0,0.73
task1_deductive,50000,1000,3,0.984319,0.565704,1.0,0.73
task1_deductive,50000,1000,4,0.982011,0.524691,1.0,0.73
task1_deductive,50000,1000,5,1.0,0.633032,1.0,0.73
task1_deductive,50000,1000,6,0.992503,0.609643,1.0,0.73
task1_deductive,50000,1000,8,1.0,0.531299,1.0,0.73
task1_deductive,50000,1000,7,0.999368,0.566653,1.0,0.73
task1_deductive,50000,1000,9,0.998539,0.498128,1.0,0.73
task1_deductive,50000,5000,0,0.94659,0.596482,1.0,0.73
task1_deductive,50000,5000,1,1.0,0.668355,1.0,0.73
task1_deductive,50000,5000,2,1.0,0.655739,1.0,0.73
task1_deductive,50000,5000,3,0.984319,0.645695,1.0,0.73
task1_deductive,50000,5000,4,0.982011,0.604682,1.0,0.73
task1_deductive,50000,5000,5,1.0,0.713023,1.0,0.73
task1_deductive,50000,5000,6,0.992503,0.689634,1.0,0.73
task1_deductive,50000,5000,7,0.999368,0.646645,1.0,0.73
task1_deductive,50000,5000,8,1.0,0.61129,1.0,0.73
task1_deductive,50000,5000,9,0.998539,0.578119,1.0,0.73
task1_deductive,50000,10000,0,0.94659,0.626195,1.0,0.73
task1_deductive,50000,10000,1,1.0,0.698068,1.0,0.73
task1_deductive,50000,10000,3,0.984319,0.675408,1.0,0.73
task1_deductive,50000,10000,4,0.982011,0.634395,1.0,0.73
task1_deductive,50000,10000,2,1.0,0.685452,1.0,0.73
task1_deductive,50000,10000,5,1.0,0.742736,1.0,0.73
