task,level_lo,level_hi,statistic,p_value,significant
task1_deductive,10,50,0.0,0.001953,True
task1_deductive,50,100,1.0,0.003906,True
task1_deductive,100,250,4.0,0.013672,True
task1_deductive,250,500,2.0,0.005859,True
task1_deductive,500,1000,7.0,0.037109,True
task1_deductive,1000,5000,0.0,0.001953,True
task1_deductive,5000,50000,7.0,0.037109,True
task2_inductive,10,50,1.0,0.003906,True
task2_inductive,50,100,0.0,0.001953,True
task2_inductive,100,250,0.0,0.001953,True
task2_inductive,250,500,0.0,0.001953,True
task2_inductive,500,1000,0.0,0.001953,True
task2_inductive,1000,5000,0.0,0.001953,True
task2_inductive,5000,50000,6.0,0.027344,True
task3_revision,10,50,0.0,0.001953,True
task3_revision,50,100,0.0,0.001953,True
task3_revision,100,250,0.0,0.001953,True
task3_revision,250,500,1.0,0.003906,True
task3_revision,500,1000,0.0,0.001953,True
task3_revision,1000,5000,0.0,0.001953,True
task3_revision,5000,50000,0.0,0.001953,True
task4_abductive,10,50,10.0,0.083984,False
task4_abductive,50,100,19.0,0.431641,False
task4_abductive,100,250,0.0,0.001953,True
task4_abductive,250,500,0.0,0.001953,True
task4_abductive,500,1000,9.0,0.064453,False
task4_abductive,1000,5000,5.0,0.019531,True
task4_abductive,5000,50000,24.0,0.769531,False
task5_multihop,10,50,0.0,0.001953,True
task5_multihop,50,100,1.0,0.003906,True
task5_multihop,100,250,8.0,0.048828,True
task5_multihop,250,500,0.0,0.001953,True
task5_multihop,500,1000,0.0,0.001953,True
task5_multihop,1000,5000,6.0,0.027344,True
task5_multihop,5000,50000,8.0,0.048828,True
