task,level_lo,level_hi,statistic,p_value,significant
task1_deductive,25,50,3.0,0.009766,True
task1_deductive,50,100,11.0,0.105469,False
task1_deductive,100,250,0.0,0.001953,True
task1_deductive,250,500,1.0,0.003906,True
task1_deductive,500,1000,0.0,0.001953,True
task1_deductive,1000,5000,0.0,0.001953,True
task1_deductive,5000,10000,2.0,0.005859,True
task2_inductive,25,50,9.0,0.064453,False
task2_inductive,50,100,9.0,0.064453,False
task2_inductive,100,250,7.0,0.037109,True
task2_inductive,250,500,9.0,0.064453,False
task2_inductive,500,1000,4.0,0.013672,True
task2_inductive,1000,5000,0.0,0.001953,True
task2_inductive,5000,10000,10.0,0.083984,False
task3_revision,25,50,0.0,0.001953,True
task3_revision,50,100,3.0,0.009766,True
task3_revision,100,250,1.0,0.003906,True
task3_revision,250,500,0.0,0.001953,True
task3_revision,500,1000,0.0,0.001953,True
task3_revision,1000,5000,0.0,0.001953,True
task3_revision,5000,10000,0.0,0.001953,True
task4_abductive,25,50,6.0,0.027344,True
task4_abductive,50,100,27.0,1.0,False
task4_abductive,100,250,0.0,0.001953,True
task4_abductive,250,500,16.0,0.275391,False
task4_abductive,500,1000,16.0,0.275391,False
task4_abductive,1000,5000,0.0,0.001953,True
task4_abductive,5000,10000,24.0,0.769531,False
task5_multihop,25,50,22.0,0.625,False
task5_multihop,50,100,0.0,0.001953,True
task5_multihop,100,250,12.0,0.130859,False
task5_multihop,250,500,0.0,0.001953,True
task5_multihop,500,1000,0.0,0.001953,True
task5_multihop,1000,5000,4.0,0.013672,True
task5_multihop,5000,10000,8.0,0.048828,True
